company,stock,7.08
stock,market,8.08
stock,phone,1.62
bank,money,8.12
money,cash,9.15
law,lawyer,8.38
movie,star,7.38
movie,theater,7.92
money,dollar,8.42
money,cash,9.08
money,bank,8.5
wednesday,news,2.22
computer,news,4.47
war,troops,8.13
record,number,6.31
japanese,american,6.5
theater,history,3.91
century,year,7.59
minister,party,6.63
life,death,7.88
credit,information,5.31
type,kind,8.97
situation,conclusion,4.81
street,place,6.44
oil,stock,6.34
profit,loss,7.63
dollar,profit,7.38
dollar,loss,6.09
five,month,3.38
game,victory,7.03
game,team,7.69
game,series,6.19
seven,series,3.56
start,year,4.06
start,match,4.47
game,round,5.97
day,summer,3.94
man,woman,8.3
focus,life,4.06
production,crew,6.25
television,movie,7.72
planet,people,5.75
experience,music,3.47
music,project,3.63
space,world,6.53